DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2011,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2012,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2013,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2014,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2015,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2016,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2017,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2018,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,DK,2019,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1992,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1993,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1994,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1995,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1996,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1997,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1998,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,1999,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2000,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2001,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2002,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2006,243,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2007,294,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2008,366,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2009,405,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2010,490,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2011,481,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2012,490,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2013,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2014,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2015,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2016,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2017,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2018,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,UNK,NO,2019,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1992,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1993,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1994,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1995,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1996,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1997,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1998,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,1999,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2000,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2001,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2002,2,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2003,5,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2004,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2005,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2006,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2007,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2008,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2009,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2010,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2011,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2012,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2013,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2014,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2015,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2016,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2017,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2018,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,DK,2019,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1992,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1993,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1994,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1995,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1996,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1997,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1998,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,1999,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2000,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2001,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2002,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2006,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2007,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2008,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2009,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2010,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2011,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2012,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2013,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2014,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2015,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2016,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2017,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2018,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y10-14,NO,2019,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1992,6,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1993,4,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1994,4,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1995,7,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1996,2,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1997,4,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1998,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,1999,5,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2000,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2001,3,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2002,5,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2003,6,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2004,3,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2005,1,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2006,3,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2007,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2008,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2009,0,
ESTAT:DEMO_NSINAGEC(1.0),06/05/21 11:00:00,A,NR,F,Y15,DK,2010,0,
